Partlist

Exported from A6BP-3.sch at 4/21/2016 3:48:01 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value           Device                       Package                           Library               Sheet

C1       10UF            CAP-POL_10UF_60V             EIA7343                           FSAE Electric         1
C2       0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         1
C3       DNP             CAP0805                      0805                              SparkFun-Capacitors   1
C4       10UF            CAP-POL_10UF_16V             EIA3216-16V                       FSAE Electric         1
C5       0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         1
C6       100UF_50V       CAP-POL_100UF_50V_SMD        PANASONIC-G                       FSAE Electric         1
C7       10UF            CAP-POL_10UF_16V             EIA3216-16V                       FSAE Electric         1
C8       10UF            CAP-POL_10UF_60V             EIA7343                           FSAE Electric         1
C9       DNP             CAP0805                      0805                              SparkFun-Capacitors   1
C10      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C11      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C12      1UF             CAP_1UF_50V                  1206@1                            FSAE Electric         1
C13      1UF             CAP_1UF_50V                  1206@1                            FSAE Electric         1
C14      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C15      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C16      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C17      100UF_50V       CAP-POL_100UF_50V_SMD        PANASONIC-G                       FSAE Electric         1
C18      10UF            CAP-POL_10UF_16V             EIA3216-16V                       FSAE Electric         1
C19      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C20      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         1
C21      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C22      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         4
C23      1000PF          CAP_1000PF_2KV               C1825                             FSAE Electric         1
C24      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         3
C25      1UF             CAP_1UF_50V_0805             0805                              FSAE Electric         1
C26      0.1UF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         1
C29      0.1uF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         5
C30      0.1uF           CAP_0.1UF_50V_0805           0805                              FSAE Electric         5
