Partlist

Exported from BMS-HVver2.5.brd at 2/18/2017 9:01:58 AM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package                  Library           Position (mil)        Orientation

C1       0.1UF                 0805                     FSAE Electric     (2411 459)            R0
C2       0.1UF                 0805                     FSAE Electric     (2549 489)            R270
C3       10NF                  0603                     FSAE Electric     (1820 1140)           MR270
C4       10NF                  0603                     FSAE Electric     (1820 980)            MR270
C7       10NF                  0603                     FSAE Electric     (1820 820)            MR270
C9       10NF                  0603                     FSAE Electric     (1820 660)            MR270
C11      10NF                  0603                     FSAE Electric     (1820 500)            MR270
C13      10NF                  0603                     FSAE Electric     (1820 180)            MR270
C15      10NF                  0603                     FSAE Electric     (1820 343.5)          MR270
C17      10NF                  0603                     FSAE Electric     (1820 10)             MR270
C19      10NF                  0603                     FSAE Electric     (1820 -200)           MR270
C20      0.1UF                 0805                     FSAE Electric     (725 750)             R0
C21      0.1UF                 0805                     FSAE Electric     (626 927)             R90
C23      10NF                  0603                     FSAE Electric     (1820 -330)           MR270
C25      10NF                  0603                     FSAE Electric     (1820 -490)           MR270
C27      10NF                  0603                     FSAE Electric     (1820 -733)           MR270
C29      10NF                  0603                     FSAE Electric     (1786 -833)           MR0
C30      1UF                   0805                     FSAE Electric     (2511 143.5)          MR0
C31      1UF                   0805                     FSAE Electric     (2514.5 83)           MR0
C32      1UF                   0805                     FSAE Electric     (2710.5 63.5)         MR270
C33      10NF                  0603                     FSAE Electric     (-40 1130)            MR270
C34      10NF                  0603                     FSAE Electric     (-40 950)             MR270
C37      10NF                  0603                     FSAE Electric     (-40 770)             MR270
C39      10NF                  0603                     FSAE Electric     (-40 540)             MR270
C41      10NF                  0603                     FSAE Electric     (-40 410)             MR270
C43      10NF                  0603                     FSAE Electric     (-40 70)              MR270
C45      10NF                  0603                     FSAE Electric     (-40 238)             MR270
C47      10NF                  0603                     FSAE Electric     (-40 -100)            MR270
C49      10NF                  0603                     FSAE Electric     (-40 -270)            MR270
C51      10NF                  0603                     FSAE Electric     (-40 -450)            MR270
C53      10NF                  0603                     FSAE Electric     (-40 -620)            MR270
C55      10NF                  0603                     FSAE Electric     (-40 -790)            MR270
C57      10NF                  0603                     FSAE Electric     (-40 -960)            MR270
C58      1UF                   0805                     FSAE Electric     (921 78)              R0
C59      1UF                   0805                     FSAE Electric     (735 51.5)            MR270
C60      1UF                   0805                     FSAE Electric     (578 182)             MR0
C61      1UF                   0805                     FSAE Electric     (578 113.5)           MR0
C63      0.1UF                 0805                     FSAE Electric     (-1640 800)           R0
C64      0.1UF                 0805                     FSAE Electric     (-1526 1146)          R90
C65      10NF                  0603                     FSAE Electric     (-2225 1400)          MR270
C66      10NF                  0603                     FSAE Electric     (-2225 1200)          MR270
C69      10NF                  0603                     FSAE Electric     (-2225 829)           MR270
C71      10NF                  0603                     FSAE Electric     (-2225 600)           MR270
C73      10NF                  0603                     FSAE Electric     (-2225 325)           MR270
C75      10NF                  0603                     FSAE Electric     (-2225 -100)          MR270
C77      10NF                  0603                     FSAE Electric     (-2225 70)            MR270
C79      10NF                  0603                     FSAE Electric     (-2225 -400)          MR270
C81      10NF                  0603                     FSAE Electric     (-2225 -650)          MR270
C83      10NF                  0603                     FSAE Electric     (-2230 -970)          MR270
C85      10NF                  0603                     FSAE Electric     (-2225 -1299)         MR270
C87      10NF                  0603                     FSAE Electric     (-2225 -1450)         MR270
C89      10NF                  0603                     FSAE Electric     (-2427.5 -1486.5)     MR0
C90      1UF                   0805                     FSAE Electric     (-1567 300)           MR0
C91      1UF                   0805                     FSAE Electric     (-1320 -44)           R180
C92      1UF                   0805                     FSAE Electric     (-1567 435)           MR0
C93      1UF                   0805                     FSAE Electric     (-1567 370)           MR0
D1       LED_RED               CHIP_LED0805             FSAE Electric     (1600 1555)           R180
D2       LED_RED               CHIP_LED0805             FSAE Electric     (1600 1305)           R180
D3       LED_RED               CHIP_LED0805             FSAE Electric     (1720 1025)           R180
D4       LED_RED               CHIP_LED0805             FSAE Electric     (1620 795)            R180
D5       LED_RED               CHIP_LED0805             FSAE Electric     (1620 570)            R180
D6       LED_RED               CHIP_LED0805             FSAE Electric     (1610 -5)             R180
D7       LED_RED               CHIP_LED0805             FSAE Electric     (1610 180)            R180
D8       LED_RED               CHIP_LED0805             FSAE Electric     (-350 1535)           R180
D9       LED_RED               CHIP_LED0805             FSAE Electric     (1681 -252)           R180
D10      LED_RED               CHIP_LED0805             FSAE Electric     (1650 -470)           R180
D11      LED_RED               CHIP_LED0805             FSAE Electric     (1640 -705)           R180
D12      LED_RED               CHIP_LED0805             FSAE Electric     (1660 -940)           R180
D13      LED_RED               CHIP_LED0805             FSAE Electric     (1650 -1190)          R180
D14      LED_RED               CHIP_LED0805             FSAE Electric     (-350 1295)           R180
D15      LED_RED               CHIP_LED0805             FSAE Electric     (-330 1045)           R180
D16      LED_RED               CHIP_LED0805             FSAE Electric     (-330 805)            R180
D17      LED_RED               CHIP_LED0805             FSAE Electric     (-330 555)            R180
D18      LED_RED               CHIP_LED0805             FSAE Electric     (-350 55)             R180
D19      LED_RED               CHIP_LED0805             FSAE Electric     (-350 305)            R180
D20      LED_RED               CHIP_LED0805             FSAE Electric     (-350 -190)           R180
D21      LED_RED               CHIP_LED0805             FSAE Electric     (-350 -440)           R180
D22      LED_RED               CHIP_LED0805             FSAE Electric     (-340 -700)           R180
D23      LED_RED               CHIP_LED0805             FSAE Electric     (-340 -960)           R180
D24      LED_RED               CHIP_LED0805             FSAE Electric     (-340 -1195)          R180
D25      LED_RED               CHIP_LED0805             FSAE Electric     (-2497 1535)          R180
D26      LED_RED               CHIP_LED0805             FSAE Electric     (-2495 1307)          R180
D27      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 1055)          R180
D28      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 805)           R180
D29      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 555)           R180
D30      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 55)            R180
D31      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 305)           R180
D32      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -195)          R180
D33      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -445)          R180
D34      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -695)          R180
D35      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -945)          R180
D36      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -1195)         R180
