Partlist

Exported from BMS.brd at 4/23/2016 3:34:17 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value               Package                  Library           Position (mil)        Orientation

1        BCV71SMD            SOT23-BEC                transistor-npn    (3978 2525)           R90
2        BCV71SMD            SOT23-BEC                transistor-npn    (5536.59055 2704.40945) MR0
3        BCV71SMD            SOT23-BEC                transistor-npn    (1878 2678)           R0
C1       0.1UF               0805                     FSAE Electric     (5447 2398)           MR270
C2       0.1UF               0805                     FSAE Electric     (5470 2829)           R180
C3       10NF                0603                     FSAE Electric     (4891 3363)           MR270
C4       10NF                0603                     FSAE Electric     (4905 3091)           MR270
C5       DNP                 0603                     FSAE Electric     (4793 3524)           MR90
C6       DNP                 0603                     FSAE Electric     (4793 3364)           MR90
C7       10NF                0603                     FSAE Electric     (4905 2945)           MR270
C8       DNP                 0603                     FSAE Electric     (4807 3092)           MR90
C9       10NF                0603                     FSAE Electric     (4899 2761)           MR270
C10      DNP                 0603                     FSAE Electric     (4807 2946)           MR90
C11      10NF                0603                     FSAE Electric     (4933 2331)           MR270
C12      DNP                 0603                     FSAE Electric     (4807 2758)           MR90
C13      10NF                0603                     FSAE Electric     (4933 2025)           MR270
C14      DNP                 0603                     FSAE Electric     (4800 2088)           MR90
C15      10NF                0603                     FSAE Electric     (4933 2171)           MR270
C16      DNP                 0603                     FSAE Electric     (4800 2241)           MR90
C17      10NF                0603                     FSAE Electric     (4905 1860)           MR270
C18      DNP                 0603                     FSAE Electric     (4800 1942)           MR90
C19      10NF                0603                     FSAE Electric     (4933 1671)           MR270
C20      0.1UF               0805                     FSAE Electric     (3676 2540)           R0
C21      0.1UF               0805                     FSAE Electric     (4000 2632)           R0
C22      DNP                 0603                     FSAE Electric     (4804 1788)           MR270
C23      10NF                0603                     FSAE Electric     (4933 1517)           MR270
C24      DNP                 0603                     FSAE Electric     (4807 1594)           MR90
C25      10NF                0603                     FSAE Electric     (4933 1368)           MR270
C26      DNP                 0603                     FSAE Electric     (4807 1438)           MR90
C27      10NF                0603                     FSAE Electric     (4933 949)            MR270
C28      DNP                 0603                     FSAE Electric     (4807 1292)           MR90
C29      10NF                0603                     FSAE Electric     (4933 803)            MR270
C30      1UF                 0805                     FSAE Electric     (5676.40945 2092.02362) MR270
C31      1UF                 0805                     FSAE Electric     (5392.38583 2125.22835) MR0
C32      1UF                 0805                     FSAE Electric     (5435.88976 2609.32283) MR90
C33      10NF                0603                     FSAE Electric     (3049 3372)           MR270
C34      10NF                0603                     FSAE Electric     (3049 3212)           MR270
C35      DNP                 0603                     FSAE Electric     (2935 3453)           MR90
C36      DNP                 0603                     FSAE Electric     (2935 3283)           MR90
C37      10NF                0603                     FSAE Electric     (3049 3052)           MR270
C38      DNP                 0603                     FSAE Electric     (2935 3123)           MR90
C39      10NF                0603                     FSAE Electric     (3077 2640)           MR270
C40      DNP                 0603                     FSAE Electric     (2970 2714)           MR90
C41      10NF                0603                     FSAE Electric     (3077 2490)           MR270
C42      DNP                 0603                     FSAE Electric     (2970 2560)           MR90
C43      10NF                0603                     FSAE Electric     (3084 1944)           MR270
C44      DNP                 0603                     FSAE Electric     (2963 2014)           MR90
C45      10NF                0603                     FSAE Electric     (3077 2340)           MR270
C46      DNP                 0603                     FSAE Electric     (2970 2406)           MR90
C47      10NF                0603                     FSAE Electric     (3084 1776)           MR270
C48      DNP                 0603                     FSAE Electric     (2963 1846)           MR90
C49      10NF                0603                     FSAE Electric     (3084 1626)           MR270
C50      DNP                 0603                     FSAE Electric     (2963 1696)           MR90
C51      10NF                0603                     FSAE Electric     (3084 1458)           MR270
C52      DNP                 0603                     FSAE Electric     (2963 1528)           MR90
C53      10NF                0603                     FSAE Electric     (3084 1304)           MR270
C54      DNP                 0603                     FSAE Electric     (2963 1374)           MR90
C55      10NF                0603                     FSAE Electric     (3063 1028)           MR270
C56      DNP                 0603                     FSAE Electric     (2977 1091)           MR90
C57      10NF                0603                     FSAE Electric     (3066.38583 874.85039) MR270
C58      1UF                 0805                     FSAE Electric     (4051 2093)           R0
C59      1UF                 0805                     FSAE Electric     (3698 2097)           MR270
C60      1UF                 0805                     FSAE Electric     (4065 2369)           R0
C61      1UF                 0805                     FSAE Electric     (4064.68504 2253.38583) R0
C63      0.1UF               0805                     FSAE Electric     (1693 2552)           R90
C64      0.1UF               0805                     FSAE Electric     (1694 2690)           R270
C65      10NF                0603                     FSAE Electric     (832 3316)            MR270
C66      10NF                0603                     FSAE Electric     (835 3133)            MR270
C67      DNP                 0603                     FSAE Electric     (709 3318)            MR270
C68      DNP                 0603                     FSAE Electric     (715 3136)            MR270
C69      10NF                0603                     FSAE Electric     (840 2966)            MR270
C70      DNP                 0603                     FSAE Electric     (710 2966)            MR270
C71      10NF                0603                     FSAE Electric     (835 2606)            MR270
C72      DNP                 0603                     FSAE Electric     (720 2611)            MR270
C73      10NF                0603                     FSAE Electric     (830 2441)            MR270
C74      DNP                 0603                     FSAE Electric     (715 2436)            MR270
C75      10NF                0603                     FSAE Electric     (825 1926)            MR270
C76      DNP                 0603                     FSAE Electric     (685 1926)            MR270
C77      10NF                0603                     FSAE Electric     (825 2256)            MR270
C78      DNP                 0603                     FSAE Electric     (715 2256)            MR270
C79      10NF                0603                     FSAE Electric     (825 1766)            MR270
C80      DNP                 0603                     FSAE Electric     (695 1766)            MR270
C81      10NF                0603                     FSAE Electric     (815 1576)            MR270
C82      DNP                 0603                     FSAE Electric     (725 1576)            MR270
C83      10NF                0603                     FSAE Electric     (820 1246)            MR270
C84      DNP                 0603                     FSAE Electric     (690 1246)            MR270
C85      10NF                0603                     FSAE Electric     (825 1056)            MR270
C86      DNP                 0603                     FSAE Electric     (685 1056)            MR270
C87      10NF                0603                     FSAE Electric     (727 886)             MR270
C88      DNP                 0603                     FSAE Electric     (615 886)             MR270
C89      10NF                0603                     FSAE Electric     (1341.80315 751.11024) R0
C90      1UF                 0805                     FSAE Electric     (1977.02362 2122.70079) R0
C91      1UF                 0805                     FSAE Electric     (1971 2036)           R0
C92      1UF                 0805                     FSAE Electric     (2066 2176)           R270
C93      1UF                 0805                     FSAE Electric     (1747.64567 2857.29921) R180
D1       LED_RED             CHIP_LED0805             FSAE Electric     (4710 3450)           R180
D2       LED_RED             CHIP_LED0805             FSAE Electric     (4710 3250)           R180
D3       LED_RED             CHIP_LED0805             FSAE Electric     (4720 2990)           R180
D4       LED_RED             CHIP_LED0805             FSAE Electric     (4740 2770)           R180
D5       LED_RED             CHIP_LED0805             FSAE Electric     (4750 2540)           R180
