Partlist

Exported from Charger_PCB.sch at 4/21/2016 6:51 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value           Device                  Package                  Library             Sheet

C1       0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C2       0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C3       0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C4       10UF            CAP-POL_10UF_16V        EIA3216-16V              FSAE Electric       1
C5       0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C6       0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C7       0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C8       1UF             CAP_1UF_50V             1206                     FSAE Electric       1
C9       100UF           CAP-POL_100UF_50V_SMD   PANASONIC-G              FSAE Electric       1
C10      0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C11      10UF            CAP-POL_10UF_16V        EIA3216-16V              FSAE Electric       1
C12      100UF           CAP-POL_100UF_50V_SMD   PANASONIC-G              FSAE Electric       1
C13      0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C14      10UF            CAP-POL_10UF_16V        EIA3216-16V              FSAE Electric       1
C15      1UF             CAP_1UF_50V_0805        0805                     FSAE Electric       1
C16      1UF             CAP_1UF_50V_0805        0805                     FSAE Electric       1
C17      0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       1
C18      0.1UF           CAP_0.1UF_50V_0805      0805                     FSAE Electric       2
C19      10UF            CAP-POL_10UF_16V        EIA3216-16V              FSAE Electric       1
CASE1                    DMB-4772_A              DMB-4772-A               FSAE Electric       1
D1       GREEN           LED_GREEN               CHIP_LED0805             FSAE Electric       1
D2       GREEN           LED_GREEN               CHIP_LED0805             FSAE Electric       2
D3       AMBER           LED_AMBER               CHIP_LED0805             FSAE Electric       1
D4       RED             LED_RED                 CHIP_LED0805             FSAE Electric       1
D5       RF201L2STE25    DIODE_RF201L2STE25      SMA                      FSAE Electric       1
D6       GREEN           LED_GREEN               CHIP_LED0805             FSAE Electric       1
D7       GREEN           LED_GREEN               CHIP_LED0805             FSAE Electric       1
D8       GREEN           LED_GREEN               CHIP_LED0805             FSAE Electric       1
D9       GREEN           LED_GREEN               CHIP_LED0805             FSAE Electric       1
D10      RED             LED_RED                 CHIP_LED0805             FSAE Electric       1
J1       M4_1X4_LOCK     M4_1X4_LOCK             MOLEX_1X4                FSAE Electric       1
J2       M2X5_IDC        M2X5_IDC                3020-10-0100-00          FSAE Electric       1
