Partlist

Exported from MCS.sch at 4/27/2016 6:43 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Device                Package            Library                    Sheet

+3V      GREEN             LED_GREEN             CHIP_LED0805       FSAE Electric              1
+5V      GREEN             LED_GREEN             CHIP_LED0805       FSAE Electric              2
+9V      GREEN             LED_GREEN             CHIP_LED0805       FSAE Electric              1
C1       10UF              CAP-POL_10UF_60V      EIA7343            FSAE Electric              1
C2       10UF              CAP-POL_10UF_60V      EIA7343            FSAE Electric              1
C3       0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C4       10UF              CAP-POL_10UF_16V      EIA3216-16V        FSAE Electric              2
C5       0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              2
C6       0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C7       10UF              CAP-POL_10UF_16V      EIA3216-16V        FSAE Electric              1
C8       10UF              CAP-POL_10UF_16V      EIA3216-16V        FSAE Electric              1
C9       0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C10      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C11      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C12      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C13      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C14      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C15      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C16      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              1
C17      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              2
C18      0.1uF             CAP_0.1UF_50V_0805    0805               FSAE Electric              2
C19      10UF              CAP-POL_10UF_16V      EIA3216-16V        FSAE Electric              1
C20      10UF              CAP-POL_10UF_16V      EIA3216-16V        FSAE Electric              1
C21      12PF              CAP_12PF_50V_0805     0805               FSAE Electric              1
C22      12PF              CAP_12PF_50V_0805     0805               FSAE Electric              1
D1       S1B               DIODE_S1B             SMA                FSAE Electric              1
D2       11V               DIODE-ZENER_11V       SOD-123            FSAE Electric              1
D5       AMBER             LED_AMBER             CHIP_LED0805       FSAE Electric              1
