Qty-3	Part References	Value	Package	Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	XREF
15	"SJ1, SJ2, JP1, R44, R45"	0	0805	***PART# '*' NOT FOUND***	*	*	*	*	*	*
48	"C2, C5, C10, C11, C14, C15, C16, C19, C20, C21, C22, C24, C26, C29, C30, C33"	0.1uF	0805	CC0805ZRY5V9BB104	Yageo	DK	311-1361-1-ND	CAP CER 0.1UF 50V Y5V 0805	0805 (2012 Metric)	REF15
3	"R53"	0.003_3W	2512	CRE2512-FZ-R003E-3	Bourns Inc.	DK	CRE2512-FZ-R003E-3CT-ND	RES SMD 0.003 OHM 1% 3W 2512	2512 (6432 Metric)	REF5
6	"R25, R56"	1.2K	0805	RC0805FR-071K2L	Yageo	DK	311-1.20KCRCT-ND	RES SMD 1.2K OHM 1% 1/8W 0805	0805 (2012 Metric)	REF127
18	"R22, R27, R35, R36, R46, R47"	1.21K	0805	RC0805FR-071K21L	Yageo	DK	311-1.21KCRCT-ND	RES SMD 1.21K OHM 1% 1/8W 0805	0805 (2012 Metric)	REF119
54	"R1, R3, R4, R10, R18, R19, R20, R21, R30, R32, R33, R34, R37, R38, R39, R41, R42, R51"	1K	0805	RC0805FR-071KL	Yageo	DK	311-1.00KCRCT-ND	RES SMD 1K OHM 1% 1/8W 0805	0805 (2012 Metric)	REF123
6	"C12, C13"	1UF	1206@1	CC1206ZRY5V9BB105	Yageo	DK	311-2013-1-ND	CAP CER 1UF 50V Y5V 1206	1206 (3216 Metric)	REF23
3	"C25"	1UF	0805	UMK212F105ZG-T	Taiyo Yuden	DK	587-1308-1-ND	CAP CER 1UF 50V Y5V 0805	0805 (2012 Metric)	REF17
3	"R54"	1k_1%	0805	RC0805FR-071KL	Yageo	DK	311-1.00KCRCT-ND	RES SMD 1K OHM 1% 1/8W 0805	0805 (2012 Metric)	REF123
3	"JP3"	2X6 FEMALE	2X6	***PART# '*' NOT FOUND***	*	*	*	*	*	*
9	"R31, R52, R15"	3.3k	0805	RC0805FR-073K3L	Yageo	DK	311-3.30KCRCT-ND	RES SMD 3.3K OHM 1% 1/8W 0805	0805 (2012 Metric)	REF128
3	"R5"	8.45K	0805	ERJ-6ENF8451V	Panasonic Electronic Components	DK	P8.45KCCT-ND	RES SMD 8.45K OHM 1% 1/8W 0805	0805 (2012 Metric)	REF122
