Qty-3,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
9,"JP2, JP1, SJ1",,SJ_2S-NO,***PART# '*' NOT FOUND***,*,*,*,*,*,*
51,"C1, C2, C4, C5, C9, C10, C11, C12, C13, C15, C16, C17, C19, C20, C21, C22, C25",0.1UF,0805,CC0805ZRY5V9BB104,Yageo,DK,311-1361-1-ND,CAP CER 0.1UF 50V Y5V 0805,0805 (2012 Metric),REF15
24,"R3, R8, R19, R20, R21, R22, R23, R26",1K,0805,RC0805FR-071KL,Yageo,DK,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,0805 (2012 Metric),REF123
15,"C3, C8, C14, C18, C26",1UF,0805,UMK212F105ZG-T,Taiyo Yuden,DK,587-1308-1-ND,CAP CER 1UF 50V Y5V 0805,0805 (2012 Metric),REF17
9,"R11, R12, R16",1k,0805,RC0805FR-071KL,Yageo,DK,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,0805 (2012 Metric),REF123
3,"R1",2.2K,0805,RC0805FR-072K2L,Yageo,DK,311-2.20KCRCT-ND,RES SMD 2.2K OHM 1% 1/8W 0805,0805 (2012 Metric),REF145
15,"R6, R7, R25, R32, R33",2.7K,0805,RC0805JR-072K7L,Yageo,DK,311-2.7KARCT-ND,RES SMD 2.7K OHM 5% 1/8W 0805,0805 (2012 Metric),REF280
3,"R5",5,0805,RC0805JR-075R1L,Yageo,DK,311-5.1ARCT-ND,RES SMD 5.1 OHM 5% 1/8W 0805,0805 (2012 Metric),REF300
9,"R10, R17, R28",5K,0805,PNM0805E5001BST5,Vishay Thin Film,DK,PNM0805-5.0KBCT-ND,RES SMD 5K OHM 0.1% 1/5W 0805,0805 (2012 Metric),REF118
12,"R4, R13, R14, R15",10K,0805,RC0805FR-0710KL,Yageo,DK,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,0805 (2012 Metric),REF124
3,"C23",10UF,EIA3216-16V,T491A106M016AT,Kemet,DK,399-3687-1-ND,CAP TANT 10UF 16V 20% 1206,1206 (3216 Metric),REF173
15,"POT1, POT2, POT3, POT4, POT5",22AR100KLFTR,22AR100KLFTR,22AR100KLFTR,TT Electronics/BI,DK,987-1003-1-ND,TRIMMER 100K OHM 0.125W SMD,None,REF293
9,"R9, R18, R27",28k,0805,RC0805FR-0728KL,Yageo,DK,311-28.0KCRCT-ND,RES SMD 28K OHM 1% 1/8W 0805,0805 (2012 Metric),REF281
3,"R29",91K,0805,ERJ-6ENF9102V,Panasonic Electronic Components,DK,P91.0KCCT-ND,RES SMD 91K OHM 1% 1/8W 0805,0805 (2012 Metric),REF120
6,"C6, C7",100UF,1206,GRM31CR60J107ME39K,Murata Electronics North America,DK,490-7217-1-ND,CAP CER 100UF 6.3V X5R 1206,1206 (3216 Metric),REF278
6,"R2, R24",115K,0805,RC0805FR-07115KL,Yageo,DK,311-115KCRCT-ND,RES SMD 115K OHM 1% 1/8W 0805,0805 (2012 Metric),REF279
3,"R34",120,0805,RC0805FR-07120RL,Yageo,DK,311-120CRCT-ND,RES SMD 120 OHM 1% 1/8W 0805,0805 (2012 Metric),REF126
3,"R31",182K,0805,ERA-6AEB1823V,Panasonic Electronic Components,DK,P182KDATR-ND,RES SMD 182K OHM 0.1% 1/8W 0805,0805 (2012 Metric),REF296
3,"R30",976K,0805,ERA-6AEB9763V,Panasonic Electronic Components,DK,P976KDACT-ND,RES SMD 976K OHM 0.1% 1/8W 0805,0805 (2012 Metric),REF298
3,"D1",AMBER,CHIP_LED0805,HSMA-C170,Avago Technologies US Inc.,DK,516-1431-1-ND,LED AMBER DIFFUSED 0805 SMD,0805 (2012 Metric),REF39
3,"CARD1",CARD-2016CARD,CARD-2016,***PART# '*' NOT FOUND***,*,*,*,*,*,*
3,"U18",CD4015BM96,SO-16,CD4015BM96,Texas Instruments,DK,296-25939-1-ND,IC DUAL STATIC SHFT REG 16-SOIC,16-SOIC (0.154", 3.90mm Width),REF45
21,"D2, D3, D4, D5, D6, D7, D8",GREEN,CHIP_LED0805,LTST-S220GKT,Lite-On Inc.,DK,160-1218-1-ND,LED GREEN CLEAR 0805 R/A SMD,0805 (2012 Metric),REF35
3,"U$1",INDPK1,PICKIT-PIN-1,***PART# '*' NOT FOUND***,*,*,*,*,*,*
3,"U4",LM358PSR,SO-8,LM358PSR,Texas Instruments,DK,296-1396-1-ND,IC OPAMP GP 700KHZ 8SO,8-SOIC (0.209", 5.30mm Width),REF282
