Qty-3,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
6,"SJ2, JP1",,1X05_LOCK_LONGPADS,***PART# '*' NOT FOUND***,*,*,*,*,*,*
3,"S2",,TACTILE-PTH,3-1825910-5,TE Connectivity Alcoswitch Switches,DK,450-1644-ND,SWITCH TACTILE SPST-NO 0.05A 24V,None,REF302
42,"C1, C2, C4, C7, C8, C9, C16, C18, C19, C20, C23, C24, C25, C26",0.1UF,0805,CC0805ZRY5V9BB104,Yageo,DK,311-1361-1-ND,CAP CER 0.1UF 50V Y5V 0805,0805 (2012 Metric),REF15
9,"R12, R53, R55",1.2K,0805,RC0805FR-071K2L,Yageo,DK,311-1.20KCRCT-ND,RES SMD 1.2K OHM 1% 1/8W 0805,0805 (2012 Metric),REF127
27,"R4, R5, R7, R8, R11, R22, R6, R9, R23",1k,0805,RC0805FR-071KL,Yageo,DK,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,0805 (2012 Metric),REF123
9,"R19, R21, R27",2.2K,0805,RC0805FR-072K2L,Yageo,DK,311-2.20KCRCT-ND,RES SMD 2.2K OHM 1% 1/8W 0805,0805 (2012 Metric),REF145
6,"R13, R24",3.3K,0805,RC0805FR-073K3L,Yageo,DK,311-3.30KCRCT-ND,RES SMD 3.3K OHM 1% 1/8W 0805,0805 (2012 Metric),REF128
9,"R3, R14, R15",10K,0805,RC0805FR-0710KL,Yageo,DK,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,0805 (2012 Metric),REF124
18,"C5, C6, C12, C14, C27, C28",10UF,EIA3216-16V,T491A106M016AT,Kemet,DK,399-3687-1-ND,CAP TANT 10UF 16V 20% 1206,1206 (3216 Metric),REF173
3,"Y1",12Mhz,CRYSTAL-SMD-5X3,7V-12.000MAAE-T,TXC,DK,887-1458-1-ND,12MHz ±30ppm Crystal 12pF 100 Ohm -20°C ~ 70°C,3.20x2.50mm ,REF306
6,"C3, C21",12PF,0805,CL21C120JBANNNC,Samsung Electro-Mechanics America, Inc.,DK,1276-1120-1-ND,CAP CER 12PF 50V NP0 0805,0805 (2012 Metric),REF21
6,"R10, R28",22K,0805,RC0805FR-0722KL,Yageo,DK,311-22.0KCRCT-ND,RES SMD 22K OHM 1% 1/8W 0805,0805 (2012 Metric),REF136
6,"R18, R20",100K,0805,RC0805FR-07100KL,Yageo,DK,311-100KCRCT-ND,RES SMD 100K OHM 1% 1/8W 0805,0805 (2012 Metric),REF129
9,"R1, R2, R17",120,0805,RC0805FR-07120RL,Yageo,DK,311-120CRCT-ND,RES SMD 120 OHM 1% 1/8W 0805,0805 (2012 Metric),REF126
9,"R16, R25, R26",499,0805,RC0805FR-07499RL,Yageo,DK,311-499CRCT-ND,RES SMD 499 OHM 1% 1/8W 0805,0805 (2012 Metric),REF125
3,"F1",550MA,2018,MF-SMDF050-2,Bourns Inc.,DK,MF-SMDF050-2CT-ND,PTC RESETTABLE .55A 60V 2018,2018 (5045 Metric), Concave,REF303
6,"R54, R56",787,0805,RC0805FR-07787RL,Yageo,DK,311-787CRCT-ND,RES SMD 787 OHM 1% 1/8W 0805,0805 (2012 Metric),REF183
3,"K1",ADJ14024,ADJ14024,ADJ14024,Panasonic Electric Works,DK,255-1499-ND,RELAY GEN PURPOSE SPDT 16A 24V,None,REF207
3,"D12",AMBER,CHIP_LED0805,HSMA-C170,Avago Technologies US Inc.,DK,516-1431-1-ND,LED AMBER DIFFUSED 0805 SMD,0805 (2012 Metric),REF39
3,"Q3",BSS123,SOT23,BSS123,215,NXP Semiconductors,DK,568-4873-1-ND,MOSFET N-CH 100V 150MA SOT-23,TO-236-3, SC-59, SOT-23-3,REF172
3,"U7",DMG6602SVTQ,SOT23-6,DMG6602SVTQ-7,Diodes Incorporated,DK,DMG6602SVTQ-7DICT-ND,MOSFET N/P-CH 30V TSOT26,SOT-23-6 Thin, TSOT-23-6,REF240
3,"U6",DSPIC33FJ128GP804,TQFP-44,DSPIC33FJ128GP804-I/PT,Microchip Technology,DK,DSPIC33FJ128GP804-I/PT-ND,IC DSC 16BIT 128KB FLASH 44TQFP,44-TQFP,REF49
3,"U3",FT230X,SSOP-16,FT230XS-R,FTDI, Future Technology Devices International Ltd,DK,768-1135-1-ND,IC USB SERIAL BASIC UART 16SSOP,16-SSOP (0.154", 3.90mm Width),REF46
24,"D1, D2, D7, D9, D10, D11, D13, D15",GREEN,CHIP_LED0805,LTST-S220GKT,Lite-On Inc.,DK,160-1218-1-ND,LED GREEN CLEAR 0805 R/A SMD,0805 (2012 Metric),REF35
3,"J10",IMD,MOLEX-1X3,0022232031,Molex, LLC,DK,WM4201-ND,CONN HEADER 3POS .100 VERT TIN,None,REF305
3,"U$1",INDPK1,PICKIT-PIN-1,***PART# '*' NOT FOUND***,*,*,*,*,*,*
3,"Q1",IRFR9120TRPBF,DPAK,IRFR9120TRPBF,Vishay Siliconix,DK,IRFR9120PBFCT-ND,MOSFET P-CH 100V 5.6A DPAK,TO-252-3, DPak (2 Leads + Tab), SC-63,REF304
6,"U8, U11",LTC6820,MSOP-16,LTC6820IMS#PBF,Linear Technology,DK,LTC6820IMS#PBF-ND,IC COMM INTERFACE ISOSPI 16MSOP,16-TFSOP (0.118", 3.00mm Width),REF234
9,"L2, L3, L5",L_FB_2A,0805,FBMH2012HM121-T,Taiyo Yuden,DK,587-1747-1-ND,FERRITE BEAD 120 OHM 0805,0805 (2012 Metric),REF184
6,"J1, J2",M2_DF13-2P,DF13-2P,DF13-2P-1.25DS(20),Hirose Electric Co Ltd,DK,H2199-ND,CONN HEADER 2POS 1.25MM R/A TIN,None,REF181
3,"J3",M4_1X4_LOCK,MOLEX_1X4,0022232041,Molex, LLC,DK,WM4202-ND,CONN HEADER 4POS .100 VERT TIN,None,REF179
3,"J5",M16_M_194280016,19428-0016,0194280016,Molex, LLC,DK,WM7386-ND,CONN HEADER 16POS VERT TIN,None,REF231
12,"J6, J7, J8, J9",M2770166,1-770166-0,1-770166-0,TE Connectivity AMP Connectors,DK,A32448-ND,CONN HEADER 2POS VERT .163 TIN,None,REF232
3,"J4",M80022232081-2,MOLEX-1X8-2,0022232081,Molex, LLC,DK,WM4206-ND,CONN HEADER 8POS .100 VERT TIN,None,REF235
3,"U9",MAX823TEUK+T_3.08,SOT23-5,MAX823TEUK+T,Maxim Integrated,DK,MAX823TEUK+TCT-ND,IC SUPERV MPU CIRC 3.08V SOT23-5,SC-74A, SOT-753,REF287
6,"U5, U10",NC7S14M5X,SOT23-5,NC7S14M5X,Fairchild Semiconductor,DK,NC7S14M5XCT-ND,IC INVERTER SCHMITT INPUT SOT-23,SC-74A, SOT-753,REF70
3,"U2",NCP1117DT_3.3,DPAK,NCP1117DT33RKG,ON Semiconductor,DK,NCP1117DT33RKGOSCT-ND,IC REG LDO 3.3V 1A DPAK,TO-252-3, DPak (2 Leads + Tab), SC-63,REF175
3,"U22",NCV7805BDTRKG,DPAK,NCV7805BDTRKG,ON Semiconductor,DK,NCV7805BDTRKGOSCT-ND,IC REG LDO 5V 1A DPAK,TO-252-3, DPak (2 Leads + Tab), SC-63,REF227
3,"U23",NUD3160DMT1G,SC74-6,NUD3160DMT1G,ON Semiconductor,DK,NUD3160DMT1GOSCT-ND,IC INDCT LOAD DRVR INDUST SC74-6,SC-74, SOT-457,REF201
3,"D3",ORANGE,CHIP_LED0805,LTST-C170KFKT,Lite-On Inc.,DK,160-1413-1-ND,LED ORANGE CLEAR 0805 SMD,0805 (2012 Metric),REF37
6,"TX3, TX4",PE-68386NLT,PE-68386NLT,PE-68386NLT,Pulse Electronics Corporation,DK,553-1776-1-ND,XFRMR GATE DRIVE 1:1 785UH SMD,None,REF166
3,"D14",RED,CHIP_LED0805,LH R974-LP-1,OSRAM Opto Semiconductors Inc.,DK,475-1415-1-ND,LED RED DIFFUSED 0805 SMD,0805 (2012 Metric),REF36
3,"D4",RF201L2STE25,SMA,RF201L2STE25,Rohm Semiconductor,DK,RF201L2STE25CT-ND,DIODE GEN PURP 200V 2A PMDS,DO-214AC, SMA,REF178
3,"SJ3",SJ-NO,SJ_2S-NO,***PART# '*' NOT FOUND***,*,*,*,*,*,*
3,"U4",SN74LVC2G241,VFSOP-8,SN74LVC2G241DCUR,Texas Instruments,DK,296-11936-1-ND,IC BUFF/DVR TRI-ST DL US8,8-VFSOP (0.091", 2.30mm Width),REF176
3,"U1",SN75HVD08DR,SO-8,SN75176BDR,Texas Instruments,DK,296-1275-1-ND,IC DIFF BUS TXCVR 8-SOIC,8-SOIC (0.154", 3.90mm Width),REF58
6,"STANDOFF3, STANDOFF4",STAND-OFF,STAND-OFF,***PART# '*' NOT FOUND***,*,*,*,*,*,*
